Community Hall Name,Community Hall ID,Location,Latitude,Longitude,Bookings,Bookings taken time,Booking website,Summary,Description,Hireable Hours,Rooms Standing Capacity,Rooms Seating Capacity,Rooms Tables,Rooms Audio Visual Equipment,Rooms Kitchen or Kitchenette,Rooms Air Conditioning,Rooms Type,Rooms Piano,Kitchen,Hot water boiler,Fridge,Stove/Oven,Microwave,Dishwasher,Sink,Air Conditioning,Ceiling Fans,Courtyard/Pergola,Stage,Vinyl Floor,Polished Floorboards,Cutlery or crockery in kitchen,Licensed commercial kitchen,Facilities Notes,On-Premise Disability Parking,On-Premise Disability Parking Bays,On-Premise Disability Parking Bays Street Entry,On-Premise Disability Parking Bays Size,On-Premise Disability Parking 2,On-Premise Disability Parking Bays,On-Premise Disability Parking Bays Street Entry,On-Premise Disability Parking Bays Size,On-Street Disability Parking (<50),On-Street Disability Parking (<50) Bays,On-Premise Parking,On-Premise Parking Bays,Two-minute Passenger Zone (<50),Taxi Zone (<50),Loading Zone (<50),Kerb Ramp (associated with set down space),On-Street Unrestricted Parking (<50),On-Street Restricted Parking (<50),Parking Notes,Disability Accessible Toilet,Disability Accessible Toilet Location,Disability Accessible Toilet Transfer Rail,Female Toilet,Female Toilet Location,Male Toilet,Male Toilet Location,Ambulant Toilet,Ambulant Toilet Location,Changing Places Toilet,Changing Places Toilet Location,Baby Change,Baby Change Location,Door Location,Path from On-Premise Disability Park,Ease of Opening,Main Entry Door Width,Travel Inside Facility,Stage Access,Hearing Loop,Hall,Meeting Room(s),Commercial,Advanced AV hire,Weekend function,Parties / Loud noise,Exhibition,Virtual Tour,Photos,Web Site,Events,General Notes,General Hire Notes,General Hall Casual/ Regular Hire per Hour,General Meeting Room Casual/ Regular Hire per Hour,General Meeting Room Commercial Hire per Hour,General Meeting Room Commercial Hire per Hour Notes,General Hall Commercial Hire per Hour,General Hall Commercial Hire per Hour Notes,General Hall Weekend function Hire per Hour,General Hall Weekend function Hire per Hour Notes,General Bond (High Risk) per Event,General Bond (High Risk) per Event Notes,General Bond (Medium Risk) per Event,General Bond (Medium Risk) per Event Notes,General Bond (Low Risk) per Event,General Bond (Low Risk) per Event Notes,General Gallery Exhibition Hire per Day,General Gallery Exhibition Hire per Day Notes,General Gallery Exhibition Hire per Week,General Gallery Exhibition Hire per Week Notes,Geolocation,photo_preview
Acacia Ridge Hall,2.0,"13 Coley Street, Acacia Ridge, Queensland, 4110",-27.586863,153.025281,07 3407 0811,8.30am and 4.30pm; Monday to Friday,https://www.brisbane.qld.gov.au/things-to-see-and-do/council-venues-and-precincts/community-halls-and-facilities/acacia-ridge-hall,"Acacia Ridge Hall is a multipurpose brick hall, located 13 Coley Street, Acacia Ridge. This community hall has on-premise disability parking and accessible toilet facilities (shared with onsite community tenants).\\Parties and similar events are permitted only between 5pm-midnight Fridays and 2pm-midnight Saturdays.",Old style brick building with vinyl-covered concrete floor. The building was previoulsy known as the Coopers Plains Seniors Citizens Centre.,"Sunday to Thursday from  8.00am to 10.00pm, Friday and Saturday from 8.00am to midnight.","Main Hall, Standing Capacity, 152 people; Meeting Room 1, Standing Capacity, 7 people; Meeting Room 2, Standing Capacity, 36 people;","Main Hall, Seating Capacity, 122 people; Meeting Room 1, Seating Capacity, 6 people; Meeting Room 2, Seating Capacity, 29 people;","Main Hall, Tables, 20; Meeting Room 1, Tables, 1; Meeting Room 2, Tables, 5;","Main Hall, Audio Visual Equipment, Basic; Meeting Room 1, Audio Visual Equipment, No; Meeting Room 2, Audio Visual Equipment, Basic;","Main Hall, Kitchen or Kitchenette, Yes; Meeting Room 1, Kitchen or Kitchenette, No; Meeting Room 2, Kitchen or Kitchenette, Yes;","Main Hall, Air Conditioning, Yes; Meeting Room 1, Air Conditioning, Yes; Meeting Room 2, Air Conditioning, Yes;","Main Hall, Room Type, Hall; Meeting Room 1, Room Type, Meeting; Meeting Room 2, Room Type, Meeting;","Main Hall, Piano, Yes; Meeting Room 1, Piano, No; Meeting Room 2, Piano, No;",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Cutlery or crockery not provided. Not a commercial kitchen.,Yes,1.0,"13 Coley Street, Acacia Ridge",4.6m x 5.3m,Yes,1,"13 Coley Street, Acacia Ridge",4.7m x 5.4m,No,0.0,Yes,19,No,No,No,No,Yes,Yes,On-premise parking available. On-street parking often restricted due to narrow street.,Yes,Ground Floor,Right,Yes,Ground Floor,Yes,Ground Floor,Yes,Ground Floor,No,Not applicable,Yes,Ground Floor,Front,Independently Accessible,Independently Accessible,0.9m and 0.7m Double Swing Door,Independently Accessible,Not applicable,Williams Sound Infrared System – requires IR receiver packs (three available onsite),Yes,Yes,Yes,No,Yes,Yes,No,https://docs.brisbane.qld.gov.au/community%20halls/Published%20Virtual%20Tours%20-%20Feb%202022/acacia-ridge-hall/fullscreen-virtual.html,https://docs.brisbane.qld.gov.au/open-data/community-halls/1600x900-Acacia-Ridge-Hall-external.jpg.webp,https://www.brisbane.qld.gov.au/things-to-see-and-do/council-venues-and-precincts/community-halls-and-facilities/acacia-ridge-hall,https://www.brisbane.qld.gov.au/whats-on-and-events/search?venue%5B0%5D=1652,"Halls are managed by Brisbane City Council and can be hired by individuals or community groups on a casual or regular basis.  For more information, including online booking capabilities www.brisbane.qld.gov.au","Charges include GST.  Approved registered charities maybe exempt from some hire charges, but must pay extra charges such as bonds. All applicable fees and charges to be confirmed by Council’s Community Halls team.",24.5,15.6,34.95,The commercial hire rate applies to all businesses and government organisations (hall and meeting rooms). Community groups charging fees for their events and or an entry fee are also subject to paying the commercial rate.,34.95,The commercial hire rate applies to all businesses and government organisations (hall and meeting rooms). Community groups charging fees for their events and or an entry fee are also subject to paying the commercial rate.,78.45,All bookings at this hall on Fridays 5pm to 12am and Saturdays from 2pm to 12am are charged the weekend function hire rates. Parties and similar events such as wedding receptions and community gatherings are permitted during the weekend function hire period. A minimum of two security guards are required for weekend function hire events and must be Brisbane City Council contracted security guards. Contact the Community Halls Team for information about security fees. Additional bonds apply.,1000.0,"Applies to all events with security guards, birthday parties, engagement parties, wedding receptions or any other event having alcohol.",750.0,"Medium and Low both depend on the number of people, and will apply to events with no alcohol, time of day e.g. children’s party early afternoon.",250.0,"Medium and Low both depend on the number of people, and will apply to events with no alcohol, time of day e.g. children’s party early afternoon.",42.9,Daily Rate or part thereof,178.0,Weekly Rate (maximum period of hire is 28 days),"-27.586863, 153.025281",https://data.brisbane.qld.gov.au/api/explore/v2.1/catalog/datasets/community-halls/files/2c78bbf9d46f778024243beb6f3e0a33
Annerley Hall,16.0,"8 Waldheim Street, Annerley, Queensland, 4103",-27.509592,153.033513,07 3407 0811,8.30am and 4.30pm; Monday to Friday,https://www.brisbane.qld.gov.au/things-to-see-and-do/council-venues-and-precincts/community-halls-and-facilities/annerley-hall,"Annerley Hall is a multi-room timber building, located adjacent to the Annerley Library at 8 Waldheim Street, Annerley. This community hall has on-premise disability parking and an accessible toilet.\\Parties and similar events not permitted and strict noise restrictions apply.",Older style house. There is also an adjacent room called the Jupiter Room.,Monday to Sunday from 8.00am to 10.00pm.,"Main hall, Standing Capacity, 35 people; Jupiter Room, Standing Capacity, 35 people;","Main hall, Seating Capacity, 28 people; Jupiter Room, Seating Capacity, 28 people;","Main hall, Tables, 5; Jupiter Room, Tables, 5;","Main hall, Audio Visual Equipment, Basic; Jupiter Room, Audio Visual Equipment, No;","Main hall, Kitchen or Kitchenette, Yes; Jupiter Room, Kitchen or Kitchenette, Yes;","Main hall, Air Conditioning, Yes; Jupiter Room, Air Conditioning, Yes;","Main hall, Room Type, Hall; Jupiter Room, Room Type, Hall;","Main hall, Piano, No; Jupiter Room, Piano, No;",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Cutlery or crockery not provided. Not a commercial kitchen.,Yes,1.0,"Waldheim Streeet, Annerley",2.9m x 4.0m,Yes,1,"Waldheim Streeet, Annerley",3.4m x 4.3m,Yes,2.0,Yes,16,No,No,Yes,Yes,Yes,Yes,On-street parking usually freely available. On-premise parking shared with library.,Yes,Ground Floor,Right,No,Not applicable,No,Not applicable,No,Not applicable,No,Not applicable,No,Not applicable,Rear,Independently Accessible,Independently Accessible,1.1m,Independently Accessible,Not Applicable,None,Yes,No,Yes,No,No,No,No,https://docs.brisbane.qld.gov.au/community%20halls/Virtual%20Tours/Annerley%20Hall/fullscreen-virtual.html,https://docs.brisbane.qld.gov.au/open-data/community-halls/1600x900-Annerley-Hall-front-main-image.jpg.webp,https://www.brisbane.qld.gov.au/things-to-see-and-do/council-venues-and-precincts/community-halls-and-facilities/annerley-hall,https://www.brisbane.qld.gov.au/whats-on-and-events/search?venue%5B0%5D=1653,"Halls are managed by Brisbane City Council and can be hired by individuals or community groups on a casual or regular basis.  For more information, including online booking capabilities www.brisbane.qld.gov.au","Charges include GST.  Approved registered charities maybe exempt from some hire charges, but must pay extra charges such as bonds. All applicable fees and charges to be confirmed by Council’s Community Halls team.",24.5,15.6,34.95,The commercial hire rate applies to all businesses and government organisations (hall and meeting rooms). Community groups charging fees for their events and or an entry fee are also subject to paying the commercial rate.,34.95,The commercial hire rate applies to all businesses and government organisations (hall and meeting rooms). Community groups charging fees for their events and or an entry fee are also subject to paying the commercial rate.,78.45,All bookings at this hall on Fridays 5pm to 12am and Saturdays from 2pm to 12am are charged the weekend function hire rates. Parties and similar events such as wedding receptions and community gatherings are permitted during the weekend function hire period. A minimum of two security guards are required for weekend function hire events and must be Brisbane City Council contracted security guards. Contact the Community Halls Team for information about security fees. Additional bonds apply.,1000.0,"Applies to all events with security guards, birthday parties, engagement parties, wedding receptions or any other event having alcohol.",750.0,"Medium and Low both depend on the number of people, and will apply to events with no alcohol, time of day e.g. children’s party early afternoon.",250.0,"Medium and Low both depend on the number of people, and will apply to events with no alcohol, time of day e.g. children’s party early afternoon.",42.9,Daily Rate or part thereof,178.0,Weekly Rate (maximum period of hire is 28 days),"-27.509592, 153.033513",https://data.brisbane.qld.gov.au/api/explore/v2.1/catalog/datasets/community-halls/files/8ee6f77ba9892b88ace73ddc30d34a74
Archerfield Wetlands Community Hub,27.0,"Archerfield Wetlands District Park, 455 Bowhill Road, Durack, Queensland, 4077",-27.58447,152.988324,07 3407 0811,8.30am and 4.30pm; Monday to Friday,https://www.brisbane.qld.gov.au/things-to-see-and-do/council-venues-and-precincts/community-halls-and-facilities/archerfield-wetlands-community-hub,"Archerfield Wetlands Community Hub is a new, modern hall, located within the Archerfield Wetlands District Park, Durack. This community hall has an accessible toilet, shared onsite disability parking and overlooks the park and wetlands.","Modern, purpose built hall within the Archerfield Wetlands District Park.","Monday to Sunday, from 8.00am to 9.00pm","Hall, Standing Capacity, 100 people;","Hall, Seating Capacity, 67 people;","Hall, Tables, 13;","Hall, Audio Visual Equipment, Basic;","Hall, Kitchen or Kitchenette, Yes;","Hall, Air Conditioning, Yes;","Hall, Room Type, Hall;","Hall, Piano, No;",Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Polished concrete floor. Cutlery or crockery not provided. Not a commercial kitchen.,Yes,2.0,Bowhill Road,5.1 x 5.3 m,No,0,,x,No,0.0,Yes,0,No,No,No,No,Yes,No,Parking shared with parkland attendees & onsite community tenant.,Yes,Ground,Left,No,Not applicable,No,Not applicable,Yes,Ground - external to hall,No,Not applicable,Yes,Ground,Front,Independently Accessible,Independently Accessible with Difficulty,0.9m,Independently Accessible,Not Applicable,Infrared hearing system – 3 IR receiver packs available onsite,Yes,No,Yes,No,No,No,No,0,https://docs.brisbane.qld.gov.au/open-data/community-halls/1600x900-archerfield-wetland-community-hub-exterior.jpg%20(1).webp,https://www.brisbane.qld.gov.au/things-to-see-and-do/council-venues-and-precincts/community-halls-and-facilities/archerfield-wetlands-community-hub,https://www.brisbane.qld.gov.au/whats-on-and-events/search?venue%5B0%5D=7250,"Halls are managed by Brisbane City Council and can be hired by individuals or community groups on a casual or regular basis.  For more information, including online booking capabilities www.brisbane.qld.gov.au","Charges include GST.  Approved registered charities maybe exempt from some hire charges, but must pay extra charges such as bonds. All applicable fees and charges to be confirmed by Council’s Community Halls team.",24.5,15.6,34.95,The commercial hire rate applies to all businesses and government organisations (hall and meeting rooms). Community groups charging fees for their events and or an entry fee are also subject to paying the commercial rate.,34.95,The commercial hire rate applies to all businesses and government organisations (hall and meeting rooms). Community groups charging fees for their events and or an entry fee are also subject to paying the commercial rate.,78.45,All bookings at this hall on Fridays 5pm to 12am and Saturdays from 2pm to 12am are charged the weekend function hire rates. Parties and similar events such as wedding receptions and community gatherings are permitted during the weekend function hire period. A minimum of two security guards are required for weekend function hire events and must be Brisbane City Council contracted security guards. Contact the Community Halls Team for information about security fees. Additional bonds apply.,1000.0,"Applies to all events with security guards, birthday parties, engagement parties, wedding receptions or any other event having alcohol.",750.0,"Medium and Low both depend on the number of people, and will apply to events with no alcohol, time of day e.g. children’s party early afternoon.",250.0,"Medium and Low both depend on the number of people, and will apply to events with no alcohol, time of day e.g. children’s party early afternoon.",42.9,Daily Rate or part thereof,178.0,Weekly Rate (maximum period of hire is 28 days),"-27.58447, 152.988324",https://data.brisbane.qld.gov.au/api/explore/v2.1/catalog/datasets/community-halls/files/31eb9348e562ee53b3d59add641097f5
Bracken Ridge Hall,5.0,"77 Bracken Street, Bracken Ridge, Queensland, 4017",-27.318419,153.038199,07 3407 0811,8.30am and 4.30pm; Monday to Friday,https://www.brisbane.qld.gov.au/things-to-see-and-do/council-venues-and-precincts/community-halls-and-facilities/bracken-ridge-hall,"Bracken Ridge Hall is a versatile brick hall, located next to the Bracken Ridge Library at 77 Bracken Street, Bracken Ridge. This facility has on-premise disability parking as well as an accessible toilet.\\Parties and similar events not permitted and strict noise restrictions apply.",New style concrete and brick building with vinyl-covered concrete floor. It is located in same location as Ward Office and Library.,Monday to Sunday from 8.00am to 10.00pm.,"Main Hall, Standing Capacity, 136 people; Meeting Room, Standing Capacity, 12 people;","Main Hall, Seating Capacity, 109 people; Meeting Room, Seating Capacity, 8 people;","Main Hall, Tables, 13; Meeting Room, Tables, 2;","Main Hall, Audio Visual Equipment, Basic; Meeting Room, Audio Visual Equipment, No;","Main Hall, Kitchen or Kitchenette, Yes; Meeting Room, Kitchen or Kitchenette, Yes;","Main Hall, Air Conditioning, Yes; Meeting Room, Air Conditioning, Yes;","Main Hall, Room Type, Hall; Meeting Room, Room Type, Meeting;","Main Hall, Piano, Yes; Meeting Room, Piano, No;",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Kitchenette in meeting room. Main Hall includes kitchen and servery.\\Cutlery or crockery not provided. Not a commercial kitchen.,Yes,2.0,"Bracken Street, Bracken Ridge",4.9m x 5.4m,No,0,,x,No,0.0,Yes,2,No,No,No,Yes,Yes,Yes,"On-premise parking includes undground, beneath the library.",Yes,Ground Floor,Left,Yes,Ground Floor,Yes,Ground Floor,Yes,Ground Floor,No,Not applicable,Yes,Ground Floor,Front,Independently Accessible,Independently Accessible,0.7m (x2),Independently Accessible,Independently Accessible,Williams Sound Infrared System – requires IR receiver packs (three available onsite),Yes,Yes,Yes,No,No,No,No,https://docs.brisbane.qld.gov.au/community%20halls/Published%20Virtual%20Tours%20-%20Feb%202022/bracken-ridge-hall/fullscreen-virtual.html,https://docs.brisbane.qld.gov.au/open-data/community-halls/1600x900-Bracken-Ridge-Hall-External-Main.jpg.webp,https://www.brisbane.qld.gov.au/things-to-see-and-do/council-venues-and-precincts/community-halls-and-facilities/bracken-ridge-hall,https://www.brisbane.qld.gov.au/whats-on-and-events/search?venue%5B0%5D=191,"Halls are managed by Brisbane City Council and can be hired by individuals or community groups on a casual or regular basis.  For more information, including online booking capabilities www.brisbane.qld.gov.au","Charges include GST.  Approved registered charities maybe exempt from some hire charges, but must pay extra charges such as bonds. All applicable fees and charges to be confirmed by Council’s Community Halls team.",24.5,15.6,34.95,The commercial hire rate applies to all businesses and government organisations (hall and meeting rooms). Community groups charging fees for their events and or an entry fee are also subject to paying the commercial rate.,34.95,The commercial hire rate applies to all businesses and government organisations (hall and meeting rooms). Community groups charging fees for their events and or an entry fee are also subject to paying the commercial rate.,78.45,All bookings at this hall on Fridays 5pm to 12am and Saturdays from 2pm to 12am are charged the weekend function hire rates. Parties and similar events such as wedding receptions and community gatherings are permitted during the weekend function hire period. A minimum of two security guards are required for weekend function hire events and must be Brisbane City Council contracted security guards. Contact the Community Halls Team for information about security fees. Additional bonds apply.,1000.0,"Applies to all events with security guards, birthday parties, engagement parties, wedding receptions or any other event having alcohol.",750.0,"Medium and Low both depend on the number of people, and will apply to events with no alcohol, time of day e.g. children’s party early afternoon.",250.0,"Medium and Low both depend on the number of people, and will apply to events with no alcohol, time of day e.g. children’s party early afternoon.",42.9,Daily Rate or part thereof,178.0,Weekly Rate (maximum period of hire is 28 days),"-27.318419, 153.038199",https://data.brisbane.qld.gov.au/api/explore/v2.1/catalog/datasets/community-halls/files/2a1af120669bbfbdf933cc3a37abdb54
C.J. Greenfield Community Hall,25.0,"CJ Greenfield Park, Freeman Road, Richlands, Queensland, 4077",-27.580042,152.964048,07 3407 0811,8.30am and 4.30pm; Monday to Friday,https://www.brisbane.qld.gov.au/things-to-see-and-do/council-venues-and-precincts/community-halls-and-facilities/cj-greenfield-community-hall,"C.J. Greenfield Community Hall is a modernised concrete hall, located within C.J. Greenfield Park on Freeman Road, Richlands. This community hall has on-premise disability parking and an accessible toilet, as well a balcony looking over the park.\\Parties and similar events not permitted and strict noise restrictions apply.",A modernised community hall with a kitchen and parking.,Monday to Sunday from 8.00am to 10.00pm.,"Main Hall, Standing Capacity, 100 people;","Main Hall, Seating Capacity, 67 people;","Main Hall, Tables, 13;","Main Hall, Audio Visual Equipment, Basic;","Main Hall, Kitchen or Kitchenette, Yes;","Main Hall, Air Conditioning, Yes;","Main Hall, Room Type, Hall;","Main Hall, Piano, No;",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Cutlery or crockery not provided. Not a commercial kitchen.,Yes,2.0,Freeman Road,x,No,0,,x,No,0.0,Yes,40,No,No,No,No,Yes,No,On-premise parking available.,Yes,Ground,0,Yes,Ground,Yes,Ground,Yes,Ground,No,0,Yes,Ground,Front,Independently Accessible with Difficulty,Independently Accessible with Difficulty,1m x2,Independently Accessible,Not Applicable,Williams Sound Infrared System – requires IR receiver packs (four available onsite),Yes,No,Yes,No,No,No,No,https://docs.brisbane.qld.gov.au/community%20halls/Published%20Virtual%20Tours%20-%20Feb%202022/cj-greenfield-community-hall/fullscreen-virtual.html,https://docs.brisbane.qld.gov.au/open-data/community-halls/1600x900-CJ-Greenfield-external-main.jpg.webp,https://www.brisbane.qld.gov.au/things-to-see-and-do/council-venues-and-precincts/community-halls-and-facilities/cj-greenfield-community-hall,https://www.brisbane.qld.gov.au/whats-on-and-events/search?venue%5B0%5D=6226,"Halls are managed by Brisbane City Council and can be hired by individuals or community groups on a casual or regular basis.  For more information, including online booking capabilities www.brisbane.qld.gov.au","Charges include GST.  Approved registered charities maybe exempt from some hire charges, but must pay extra charges such as bonds. All applicable fees and charges to be confirmed by Council’s Community Halls team.",24.5,15.6,34.95,The commercial hire rate applies to all businesses and government organisations (hall and meeting rooms). Community groups charging fees for their events and or an entry fee are also subject to paying the commercial rate.,34.95,The commercial hire rate applies to all businesses and government organisations (hall and meeting rooms). Community groups charging fees for their events and or an entry fee are also subject to paying the commercial rate.,78.45,All bookings at this hall on Fridays 5pm to 12am and Saturdays from 2pm to 12am are charged the weekend function hire rates. Parties and similar events such as wedding receptions and community gatherings are permitted during the weekend function hire period. A minimum of two security guards are required for weekend function hire events and must be Brisbane City Council contracted security guards. Contact the Community Halls Team for information about security fees. Additional bonds apply.,1000.0,"Applies to all events with security guards, birthday parties, engagement parties, wedding receptions or any other event having alcohol.",750.0,"Medium and Low both depend on the number of people, and will apply to events with no alcohol, time of day e.g. children’s party early afternoon.",250.0,"Medium and Low both depend on the number of people, and will apply to events with no alcohol, time of day e.g. children’s party early afternoon.",42.9,Daily Rate or part thereof,178.0,Weekly Rate (maximum period of hire is 28 days),"-27.580042, 152.964048",https://data.brisbane.qld.gov.au/api/explore/v2.1/catalog/datasets/community-halls/files/3ebf848ef194cf54df0815d823325138
Forest Lake Community Hall,17.0,"60 College Avenue, Forest Lake, Queensland, 4078",-27.618525,152.972316,07 3407 0811,8.30am and 4.30pm; Monday to Friday,https://www.brisbane.qld.gov.au/things-to-see-and-do/council-venues-and-precincts/community-halls-and-facilities/forest-lake-community-hall,"Forest Lake Community Hall is a modern, two level facility located at 60 College Avenue, Forest Lake. This facility has on-premise disability parking and an accessible toilet.\\Parties and similar events permitted between 2pm – 10pm Friday and Saturdays only.",Modern style community hall.,Monday to Sunday from 8.00am to 10.00pm.,"Main hall, Standing Capacity, 120 people; Meeting Room 1, Standing Capacity, 16 people;","Main hall, Seating Capacity, 100 people; Meeting Room 1, Seating Capacity, 12 people;","Main hall, Tables, 16; Meeting Room 1, Tables, 3;","Main hall, Audio Visual Equipment, Basic; Meeting Room 1, Audio Visual Equipment, Basic;","Main hall, Kitchen or Kitchenette, Yes; Meeting Room 1, Kitchen or Kitchenette, Yes;","Main hall, Air Conditioning, Yes; Meeting Room 1, Air Conditioning, Yes;","Main hall, Room Type, Hall; Meeting Room 1, Room Type, Meeting;","Main hall, Piano, No; Meeting Room 1, Piano, No;",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,Cutlery or crockery not provided. Not a commercial kitchen.,Yes,1.0,College Avenue,5.2m x 4.9m,No,0,,x,No,0.0,Yes,28,No,No,No,No,No,No,On-premise and on-street parking available.,Yes,Ground Floor,Left,Yes,Ground Floor,Yes,Ground Floor,Yes,Ground Floor,Yes,Ground Floor,No,Not applicable,Front,Independently Accessible with Difficulty,Independently Accessible with Difficulty,1.15m,Independently accessible,Not Applicable,Induction Loop System,Yes,Yes,Yes,No,Yes,Yes,No,https://docs.brisbane.qld.gov.au/community%20halls/Published%20Virtual%20Tours%20-%20Feb%202022/forest-lake-hall/fullscreen-virtual.html,https://docs.brisbane.qld.gov.au/open-data/community-halls/1600x850_forest-lake-2.jpg.webp,https://www.brisbane.qld.gov.au/things-to-see-and-do/council-venues-and-precincts/community-halls-and-facilities/forest-lake-community-hall,https://www.brisbane.qld.gov.au/whats-on-and-events/search?venue%5B0%5D=6311,"Halls are managed by Brisbane City Council and can be hired by individuals or community groups on a casual or regular basis.  For more information, including online booking capabilities www.brisbane.qld.gov.au","Charges include GST.  Approved registered charities maybe exempt from some hire charges, but must pay extra charges such as bonds. All applicable fees and charges to be confirmed by Council’s Community Halls team.",24.5,15.6,34.95,The commercial hire rate applies to all businesses and government organisations (hall and meeting rooms). Community groups charging fees for their events and or an entry fee are also subject to paying the commercial rate.,34.95,The commercial hire rate applies to all businesses and government organisations (hall and meeting rooms). Community groups charging fees for their events and or an entry fee are also subject to paying the commercial rate.,78.45,All bookings at this hall on Fridays 5pm to 12am and Saturdays from 2pm to 12am are charged the weekend function hire rates. Parties and similar events such as wedding receptions and community gatherings are permitted during the weekend function hire period. A minimum of two security guards are required for weekend function hire events and must be Brisbane City Council contracted security guards. Contact the Community Halls Team for information about security fees. Additional bonds apply.,1000.0,"Applies to all events with security guards, birthday parties, engagement parties, wedding receptions or any other event having alcohol.",750.0,"Medium and Low both depend on the number of people, and will apply to events with no alcohol, time of day e.g. children’s party early afternoon.",250.0,"Medium and Low both depend on the number of people, and will apply to events with no alcohol, time of day e.g. children’s party early afternoon.",42.9,Daily Rate or part thereof,178.0,Weekly Rate (maximum period of hire is 28 days),"-27.618525, 152.972316",https://data.brisbane.qld.gov.au/api/explore/v2.1/catalog/datasets/community-halls/files/ae2a964256de811963f7eb816cc5cf1d
Grange Community Hall,23.0,"187 Wilston Road, Newmarket, Queensland, 4051",-27.427293,153.011385,07 3407 0811,8.30am and 4.30pm; Monday to Friday,https://www.brisbane.qld.gov.au/things-to-see-and-do/council-venues-and-precincts/community-halls-and-facilities/grange-community-hall,"Grange Community Hall is a heritage-listed timber hall, located at 187 Wilston Road, Newmarket. This community hall has on-premise disability parking and an accessible toilet.\\Parties and similar events not permitted and strict noise restrictions apply.","A refurbished old style hall with timber floors, new kitchen, toilets and air conditioning.",Monday to Sunday from 8.00am to 10.00pm.,"Hall, Standing Capacity, 135 people;","Hall, Seating Capacity, 87 people;","Hall, Tables, 14;","Hall, Audio Visual Equipment, Basic;","Hall, Kitchen or Kitchenette, Yes;","Hall, Air Conditioning, Yes;","Hall, Room Type, Hall;","Hall, Piano, No;",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Cutlery or crockery not provided. Not a commercial kitchen.,Yes,1.0,Wilston Road,x,No,0,,x,No,0.0,Yes,15,No,No,No,No,Yes,No,On-premise parking entry from Daisy Street. Some on-street parking available.,Yes,Ground,0,Yes,Ground,Yes,Ground,Yes,Ground,No,0,Yes,Ground,Front,Independently Accessible with Difficulty,Independently Accessible with Difficulty,.90m,Independently Accessible,Not Independently Accessible,Yes,Yes,No,Yes,No,No,No,No,https://docs.brisbane.qld.gov.au/community%20halls/Published%20Virtual%20Tours%20-%20Feb%202022/the-grange-community-hall/fullscreen-virtual.html,https://docs.brisbane.qld.gov.au/open-data/community-halls/1600x900-Grange-Hall-exterior-main.jpg.webp,https://www.brisbane.qld.gov.au/things-to-see-and-do/council-venues-and-precincts/community-halls-and-facilities/grange-community-hall,https://www.brisbane.qld.gov.au/whats-on-and-events/search?venue%5B0%5D=5521,"Halls are managed by Brisbane City Council and can be hired by individuals or community groups on a casual or regular basis.  For more information, including online booking capabilities www.brisbane.qld.gov.au","Charges include GST.  Approved registered charities maybe exempt from some hire charges, but must pay extra charges such as bonds. All applicable fees and charges to be confirmed by Council’s Community Halls team.",24.5,15.6,34.95,The commercial hire rate applies to all businesses and government organisations (hall and meeting rooms). Community groups charging fees for their events and or an entry fee are also subject to paying the commercial rate.,34.95,The commercial hire rate applies to all businesses and government organisations (hall and meeting rooms). Community groups charging fees for their events and or an entry fee are also subject to paying the commercial rate.,78.45,All bookings at this hall on Fridays 5pm to 12am and Saturdays from 2pm to 12am are charged the weekend function hire rates. Parties and similar events such as wedding receptions and community gatherings are permitted during the weekend function hire period. A minimum of two security guards are required for weekend function hire events and must be Brisbane City Council contracted security guards. Contact the Community Halls Team for information about security fees. Additional bonds apply.,1000.0,"Applies to all events with security guards, birthday parties, engagement parties, wedding receptions or any other event having alcohol.",750.0,"Medium and Low both depend on the number of people, and will apply to events with no alcohol, time of day e.g. children’s party early afternoon.",250.0,"Medium and Low both depend on the number of people, and will apply to events with no alcohol, time of day e.g. children’s party early afternoon.",42.9,Daily Rate or part thereof,178.0,Weekly Rate (maximum period of hire is 28 days),"-27.427293, 153.011385",https://data.brisbane.qld.gov.au/api/explore/v2.1/catalog/datasets/community-halls/files/ed1b1c48444c465e6966dfd517adbe24
