OBJECTID,SAP_EQUIPMENT,ITEM_DESCRIPTION,ITEM_TYPE,SAP_FUNCTIONAL_LOCATION,PARK_NUMBER,PARK_NAME,SUBURB,POWER_TYPE,NUMBER_OF_PLATES,LONG,LAT,geo_shape,geo_point_2d
728,100290225,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2705-N003,D2086,DALKEITH PARK,KALINGA,MAINS POWER,1,153.04249622023644,-27.41351031457239,"{""coordinates"": [153.04249622023644, -27.41351031457239], ""type"": ""Point""}","-27.41351031457239, 153.04249622023644"
729,100290236,BBQ - WOOD SINGLE,BARBEQUE,B-RE-0620-N001,D1810,PACIFIC PARADE PARK,FOREST LAKE,WOOD FIRED,1,152.9777717585424,-27.625804040579464,"{""coordinates"": [152.9777717585424, -27.625804040579464], ""type"": ""Point""}","-27.625804040579464, 152.9777717585424"
730,100290237,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2399-N005,D0824,GRACEVILLE RIVERSIDE PARKLANDS,GRACEVILLE,WOOD FIRED,1,152.993720006508,-27.523687573830756,"{""coordinates"": [152.993720006508, -27.523687573830756], ""type"": ""Point""}","-27.523687573830756, 152.993720006508"
731,100294931,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0117-N001,D2141,HINCHINBROOK CIRCUIT PARK,FOREST LAKE,MAINS POWER,1,152.97959156319263,-27.637003446922765,"{""coordinates"": [152.97959156319263, -27.637003446922765], ""type"": ""Point""}","-27.637003446922765, 152.97959156319263"
732,100297937,BBQ - GAS DOUBLE (SOLAR IGNITION),BARBEQUE,B-RE-2433-N002,D0833,JOHN SPRENT RESERVE,MOGGILL,BOTTLED GAS,2,152.89301825305108,-27.57507174676368,"{""coordinates"": [152.89301825305108, -27.57507174676368], ""type"": ""Point""}","-27.57507174676368, 152.89301825305108"
733,100421947,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1389-N007,D0460,ROSS PARK,NUNDAH,MAINS POWER,1,153.05916524481125,-27.40854210226309,"{""coordinates"": [153.05916524481125, -27.40854210226309], ""type"": ""Point""}","-27.40854210226309, 153.05916524481125"
734,200470452,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2018-N015,D0305,SHERWOOD ARBORETUM,SHERWOOD,MAINS POWER,1,152.97343365793242,-27.532126299014113,"{""coordinates"": [152.97343365793242, -27.532126299014113], ""type"": ""Point""}","-27.532126299014113, 152.97343365793242"
735,200479350,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2004-N018,D0228,7TH BRIGADE PARK,CHERMSIDE,MAINS POWER,1,153.03387423776715,-27.37813392442904,"{""coordinates"": [153.03387423776715, -27.37813392442904], ""type"": ""Point""}","-27.37813392442904, 153.03387423776715"
736,200483511,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1667-N008,D0616,RAVEN STREET RESERVE,CHERMSIDE WEST,MAINS POWER,2,153.00486143551663,-27.389187262600572,"{""coordinates"": [153.00486143551663, -27.389187262600572], ""type"": ""Point""}","-27.389187262600572, 153.00486143551663"
737,200486548,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1584-N007,D0730,BERYL ROBERTS PARK,COOPERS PLAINS,MAINS POWER,1,153.0416926740152,-27.566385946236018,"{""coordinates"": [153.0416926740152, -27.566385946236018], ""type"": ""Point""}","-27.566385946236018, 153.0416926740152"
738,200488908,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1629-N010,D0563,MORTIMER ROAD PARK,ACACIA RIDGE,MAINS POWER,1,153.016997282935,-27.578018852150706,"{""coordinates"": [153.016997282935, -27.578018852150706], ""type"": ""Point""}","-27.578018852150706, 153.016997282935"
739,200488976,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1624-N004,D0568,GRENIER PARK,ACACIA RIDGE,MAINS POWER,1,153.0191497373473,-27.57952834811918,"{""coordinates"": [153.0191497373473, -27.57952834811918], ""type"": ""Point""}","-27.57952834811918, 153.0191497373473"
740,200489001,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2148-N003,D1165,ROBERT MITCHELL PARK,SUNNYBANK HILLS,MAINS POWER,1,153.0418695491006,-27.583205346453088,"{""coordinates"": [153.0418695491006, -27.583205346453088], ""type"": ""Point""}","-27.583205346453088, 153.0418695491006"
741,200500843,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1875-N024,D0276,SANDGATE FORESHORES PARK,SANDGATE,MAINS POWER,2,153.0811192065788,-27.32227268524768,"{""coordinates"": [153.0811192065788, -27.32227268524768], ""type"": ""Point""}","-27.32227268524768, 153.0811192065788"
742,200502472,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2073-N003,D1246,BREAKWATER PARK,WYNNUM,MAINS POWER,1,153.17423431255958,-27.436086599468297,"{""coordinates"": [153.17423431255958, -27.436086599468297], ""type"": ""Point""}","-27.436086599468297, 153.17423431255958"
743,200502693,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2317-N011,D1252,TINCHI TAMBA WETLANDS RESERVE,BALD HILLS,MAINS POWER,1,153.03329419821216,-27.299570540294063,"{""coordinates"": [153.03329419821216, -27.299570540294063], ""type"": ""Point""}","-27.299570540294063, 153.03329419821216"
