OBJECTID,SAP_EQUIPMENT,ITEM_DESCRIPTION,ITEM_TYPE,SAP_FUNCTIONAL_LOCATION,PARK_NUMBER,PARK_NAME,SUBURB,POWER_TYPE,NUMBER_OF_PLATES,LONG,LAT,geo_shape,geo_point_2d
1,200536457,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1901-N013,D0249,MT COOT-THA RESERVE,MOUNT COOT-THA,WOOD FIRED,1,152.96984672094038,-27.46892473192794,"{""coordinates"": [152.96984672094038, -27.46892473192794], ""type"": ""Point""}","-27.46892473192794, 152.96984672094038"
2,200503632,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1871-N005,D0281,SANDGATE THIRD LAGOON RESERVE,BRIGHTON,WOOD FIRED,1,153.05450707536716,-27.30954428670248,"{""coordinates"": [153.05450707536716, -27.30954428670248], ""type"": ""Point""}","-27.30954428670248, 153.05450707536716"
3,100281834,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1982-N008,D0166,ASCOT PARK,ASCOT,MAINS POWER,2,153.0629399048269,-27.43024805629678,"{""coordinates"": [153.0629399048269, -27.43024805629678], ""type"": ""Point""}","-27.43024805629678, 153.0629399048269"
4,200473814,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1901-N011,D0249,MT COOT-THA RESERVE,MOUNT COOT-THA,WOOD FIRED,1,152.94382801857103,-27.4652748815511,"{""coordinates"": [152.94382801857103, -27.4652748815511], ""type"": ""Point""}","-27.4652748815511, 152.94382801857103"
5,100083817,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1851-N002,D0059,CHESTER PARK RESERVE,MOUNT GRAVATT EAST,WOOD FIRED,1,153.08376001111543,-27.52776127278401,"{""coordinates"": [153.08376001111543, -27.52776127278401], ""type"": ""Point""}","-27.52776127278401, 153.08376001111543"
6,200479679,BBQ - WOOD DOUBLE,BARBEQUE,B-RE-1990-N004,D0242,JOSEPH LEE PARK,ZILLMERE,WOOD FIRED,2,153.04775570660547,-27.353104597462604,"{""coordinates"": [153.04775570660547, -27.353104597462604], ""type"": ""Point""}","-27.353104597462604, 153.04775570660547"
7,200525234,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2541-N003,D1090,FIDDLEWOOD CRESCENT PARK,BELLBOWRIE,WOOD FIRED,1,152.8792129646575,-27.56686007135081,"{""coordinates"": [152.8792129646575, -27.56686007135081], ""type"": ""Point""}","-27.56686007135081, 152.8792129646575"
8,200474253,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2420-N003,D0848,LORIKEET PARK (ALGESTER),ALGESTER,WOOD FIRED,1,153.04170735774525,-27.603909503573966,"{""coordinates"": [153.04170735774525, -27.603909503573966], ""type"": ""Point""}","-27.603909503573966, 153.04170735774525"
9,200555385,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1460-N003,D0382,ROWLINSON PARK,YERONGA,WOOD FIRED,1,153.01425304983962,-27.51973837455048,"{""coordinates"": [153.01425304983962, -27.51973837455048], ""type"": ""Point""}","-27.51973837455048, 153.01425304983962"
10,100088356,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2463-N005,D0806,CARINYA STREET PARK,INDOOROOPILLY,WOOD FIRED,1,152.9638323446284,-27.49502941135925,"{""coordinates"": [152.9638323446284, -27.49502941135925], ""type"": ""Point""}","-27.49502941135925, 152.9638323446284"
11,100083528,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1182-N004,D3293,PASK FAMILY PARK,ROCHEDALE,MAINS POWER,2,153.11640756033714,-27.57454882218912,"{""coordinates"": [153.11640756033714, -27.57454882218912], ""type"": ""Point""}","-27.57454882218912, 153.11640756033714"
12,100101987,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2605-N001,D1044,SETTLERS PARK,SINNAMON PARK,WOOD FIRED,1,152.9425512385642,-27.552811595858262,"{""coordinates"": [152.9425512385642, -27.552811595858262], ""type"": ""Point""}","-27.552811595858262, 152.9425512385642"
13,200528667,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1727-N003,D0106,TARANA STREET PARK,CAMP HILL,WOOD FIRED,1,153.07326433024463,-27.495018541766164,"{""coordinates"": [153.07326433024463, -27.495018541766164], ""type"": ""Point""}","-27.495018541766164, 153.07326433024463"
14,200484402,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1872-N003,D0280,WAKEFIELD PARK,BRIGHTON,MAINS POWER,1,153.04946141045903,-27.301965261069373,"{""coordinates"": [153.04946141045903, -27.301965261069373], ""type"": ""Point""}","-27.301965261069373, 153.04946141045903"
15,200470343,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1817-N002,D0004,JACARANDA PARK,YERONGA,WOOD FIRED,1,153.0048153353953,-27.507743429040357,"{""coordinates"": [153.0048153353953, -27.507743429040357], ""type"": ""Point""}","-27.507743429040357, 153.0048153353953"
16,100092418,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1977-N003,D0171,CAMERON ROCKS RESERVE,HAMILTON,MAINS POWER,2,153.04894903398062,-27.440599009228198,"{""coordinates"": [153.04894903398062, -27.440599009228198], ""type"": ""Point""}","-27.440599009228198, 153.04894903398062"
17,200559339,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2399-N005,D0824,GRACEVILLE RIVERSIDE PARKLANDS,GRACEVILLE,WOOD FIRED,1,152.993915799866,-27.523837984995488,"{""coordinates"": [152.993915799866, -27.523837984995488], ""type"": ""Point""}","-27.523837984995488, 152.993915799866"
18,100119402,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-2099-N029,D1279,THE LAKE PARKLANDS,FOREST LAKE,MAINS POWER,2,152.9622233376546,-27.625283203036297,"{""coordinates"": [152.9622233376546, -27.625283203036297], ""type"": ""Point""}","-27.625283203036297, 152.9622233376546"
19,200476059,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1407-N001,D0595,SHE-OAK PARK,TINGALPA,WOOD FIRED,1,153.12829243860077,-27.484819748260872,"{""coordinates"": [153.12829243860077, -27.484819748260872], ""type"": ""Point""}","-27.484819748260872, 153.12829243860077"
20,200542959,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1901-N037,D0249,MT COOT-THA RESERVE,MOUNT COOT-THA,WOOD FIRED,1,152.9287868657907,-27.47876436817407,"{""coordinates"": [152.9287868657907, -27.47876436817407], ""type"": ""Point""}","-27.47876436817407, 152.9287868657907"
21,200474055,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1641-N002,D0548,FAUNA PARADE PARK,ROCKLEA,WOOD FIRED,1,153.0156310657579,-27.54963003645857,"{""coordinates"": [153.0156310657579, -27.54963003645857], ""type"": ""Point""}","-27.54963003645857, 153.0156310657579"
22,200478761,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1390-N003,D0458,MYRTLETOWN RESERVE,PINKENBA,WOOD FIRED,1,153.14165642302447,-27.391155567285864,"{""coordinates"": [153.14165642302447, -27.391155567285864], ""type"": ""Point""}","-27.391155567285864, 153.14165642302447"
23,200475278,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1474-N001,D0368,HEATH PARK,EAST BRISBANE,WOOD FIRED,1,153.05135053754535,-27.479238853886073,"{""coordinates"": [153.05135053754535, -27.479238853886073], ""type"": ""Point""}","-27.479238853886073, 153.05135053754535"
24,100296434,BBQ - GAS DOUBLE,BARBEQUE,B-RE-2900-N003,D2274,WARRIL PARKLAND,LARAPINTA,BOTTLED GAS,2,153.00448741907033,-27.651768743686475,"{""coordinates"": [153.00448741907033, -27.651768743686475], ""type"": ""Point""}","-27.651768743686475, 153.00448741907033"
25,200514098,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1673-N001,D0661,TILLACK PARK,MANSFIELD,WOOD FIRED,1,153.10213035694625,-27.522431424472586,"{""coordinates"": [153.10213035694625, -27.522431424472586], ""type"": ""Point""}","-27.522431424472586, 153.10213035694625"
26,200504674,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2045-N002,D1316,FREE STREET PARK,NEWMARKET,WOOD FIRED,1,153.00277337321148,-27.444376250481543,"{""coordinates"": [153.00277337321148, -27.444376250481543], ""type"": ""Point""}","-27.444376250481543, 153.00277337321148"
27,200486504,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1414-N001,D0547,KOOKABURRA PARK,ROCKLEA,MAINS POWER,1,153.02013331458608,-27.551001081534476,"{""coordinates"": [153.02013331458608, -27.551001081534476], ""type"": ""Point""}","-27.551001081534476, 153.02013331458608"
28,200472067,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1511-N001,D0420,SIR JOHN CHANDLER PARK,INDOOROOPILLY,WOOD FIRED,1,153.00850647387668,-27.517780954852856,"{""coordinates"": [153.00850647387668, -27.517780954852856], ""type"": ""Point""}","-27.517780954852856, 153.00850647387668"
29,100437613,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0098-N004,D2077,KAOHSIUNG PARK,EIGHT MILE PLAINS,MAINS POWER,1,153.0803699822498,-27.583429214038404,"{""coordinates"": [153.0803699822498, -27.583429214038404], ""type"": ""Point""}","-27.583429214038404, 153.0803699822498"
30,100135573,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-2072-N011,D1247,KARAWATHA FOREST PARK,KARAWATHA,MAINS POWER,2,153.0919374160958,-27.623688631794952,"{""coordinates"": [153.0919374160958, -27.623688631794952], ""type"": ""Point""}","-27.623688631794952, 153.0919374160958"
31,200525330,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1671-N010,D0663,BOOKER PLACE PARK,BELLBOWRIE,WOOD FIRED,1,152.89359417657087,-27.56136396959507,"{""coordinates"": [152.89359417657087, -27.56136396959507], ""type"": ""Point""}","-27.56136396959507, 152.89359417657087"
32,100442028,BBQ - GAS DOUBLE (SOLAR IGNITION),BARBEQUE,B-RE-1829-N017,D0083,VICTORIA PARK,HERSTON,BOTTLED GAS,1,153.01975297297562,-27.45466115958327,"{""coordinates"": [153.01975297297562, -27.45466115958327], ""type"": ""Point""}","-27.45466115958327, 153.01975297297562"
33,200482585,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2638-N001,D0984,RON GOELDNER PARK,YERONGA,WOOD FIRED,1,152.99969360427193,-27.51376500325807,"{""coordinates"": [152.99969360427193, -27.51376500325807], ""type"": ""Point""}","-27.51376500325807, 152.99969360427193"
34,100281987,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1638-N011,D0553,SALISBURY RECREATION RESERVE,SALISBURY,MAINS POWER,1,153.03328984506544,-27.549319369162088,"{""coordinates"": [153.03328984506544, -27.549319369162088], ""type"": ""Point""}","-27.549319369162088, 153.03328984506544"
35,200478101,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1514-N007,D0416,ROBERTSON PARK,TARINGA,WOOD FIRED,1,152.98971173957443,-27.502658724617298,"{""coordinates"": [152.98971173957443, -27.502658724617298], ""type"": ""Point""}","-27.502658724617298, 152.98971173957443"
36,100296488,BBQ - GAS DOUBLE,BARBEQUE,B-RE-2900-N004,D2274,WARRIL PARKLAND,LARAPINTA,BOTTLED GAS,2,153.00341694013522,-27.650915106043854,"{""coordinates"": [153.00341694013522, -27.650915106043854], ""type"": ""Point""}","-27.650915106043854, 153.00341694013522"
37,200511008,BBQ - WOOD DOUBLE,BARBEQUE,B-RE-1862-N002,D0161,DORRINGTON PARK,ASHGROVE,WOOD FIRED,2,152.98774924903535,-27.439153835092203,"{""coordinates"": [152.98774924903535, -27.439153835092203], ""type"": ""Point""}","-27.439153835092203, 152.98774924903535"
38,200536450,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1901-N013,D0249,MT COOT-THA RESERVE,MOUNT COOT-THA,WOOD FIRED,1,152.9697756487271,-27.467977716393477,"{""coordinates"": [152.9697756487271, -27.467977716393477], ""type"": ""Point""}","-27.467977716393477, 152.9697756487271"
39,200474131,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1869-N013,D0284,SANDGATE SECOND LAGOON RESERVE,SANDGATE,WOOD FIRED,1,153.0624025775378,-27.314115799405347,"{""coordinates"": [153.0624025775378, -27.314115799405347], ""type"": ""Point""}","-27.314115799405347, 153.0624025775378"
40,200471656,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1511-N001,D0420,SIR JOHN CHANDLER PARK,INDOOROOPILLY,WOOD FIRED,1,153.00810587847167,-27.517601724702807,"{""coordinates"": [153.00810587847167, -27.517601724702807], ""type"": ""Point""}","-27.517601724702807, 153.00810587847167"
41,200536545,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1901-N013,D0249,MT COOT-THA RESERVE,MOUNT COOT-THA,WOOD FIRED,1,152.96880893823473,-27.468493233394877,"{""coordinates"": [152.96880893823473, -27.468493233394877], ""type"": ""Point""}","-27.468493233394877, 152.96880893823473"
42,100292153,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2183-N002,D1187,WALLAROO WAY COMMUNITY PARK,DOOLANDELLA,MAINS POWER,1,152.98274278892563,-27.606813603263355,"{""coordinates"": [152.98274278892563, -27.606813603263355], ""type"": ""Point""}","-27.606813603263355, 152.98274278892563"
43,200472843,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2388-N004,D0910,CLARINA STREET PARK,CHAPEL HILL,WOOD FIRED,1,152.96049739995252,-27.500220611451773,"{""coordinates"": [152.96049739995252, -27.500220611451773], ""type"": ""Point""}","-27.500220611451773, 152.96049739995252"
44,100442018,BBQ – ELECTRIC DOUBLE,BARBEQUE,B-RE-1829-N017,D0083,VICTORIA PARK,HERSTON,MAINS POWER,2,153.0227911006331,-27.451009269980773,"{""coordinates"": [153.0227911006331, -27.451009269980773], ""type"": ""Point""}","-27.451009269980773, 153.0227911006331"
45,100451524,BBQ – ELECTRIC SINGLE,BARBEQUE,B-RE-1639-N003,D0551,BILL MOORE PARK,SALISBURY,MAINS POWER,1,153.0290276107429,-27.54819169381915,"{""coordinates"": [153.0290276107429, -27.54819169381915], ""type"": ""Point""}","-27.54819169381915, 153.0290276107429"
46,200508800,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1182-N005,D3293,PASK FAMILY PARK,ROCHEDALE,MAINS POWER,2,153.1161456904568,-27.573918983661642,"{""coordinates"": [153.1161456904568, -27.573918983661642], ""type"": ""Point""}","-27.573918983661642, 153.1161456904568"
47,200478643,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2164-N001,D1145,KERRY ROAD PARK,ARCHERFIELD,WOOD FIRED,1,153.02048178512763,-27.569510153371667,"{""coordinates"": [153.02048178512763, -27.569510153371667], ""type"": ""Point""}","-27.569510153371667, 153.02048178512763"
48,100105970,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1915-N003,D0411,ST LUCIA PLAYGROUND PARK,ST LUCIA,MAINS POWER,1,152.99846168900226,-27.4976281333645,"{""coordinates"": [152.99846168900226, -27.4976281333645], ""type"": ""Point""}","-27.4976281333645, 152.99846168900226"
49,100118352,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1391-N002,D0457,PROGRESS PARK,NORTHGATE,MAINS POWER,1,153.07792478482853,-27.3904095007376,"{""coordinates"": [153.07792478482853, -27.3904095007376], ""type"": ""Point""}","-27.3904095007376, 153.07792478482853"
50,200477844,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2498-N009,D0861,DON RANDALL PARK,LOTA,WOOD FIRED,1,153.1851821846837,-27.47171896447233,"{""coordinates"": [153.1851821846837, -27.47171896447233], ""type"": ""Point""}","-27.47171896447233, 153.1851821846837"
51,100135572,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-2072-N011,D1247,KARAWATHA FOREST PARK,KARAWATHA,MAINS POWER,2,153.09313981392486,-27.623854264351724,"{""coordinates"": [153.09313981392486, -27.623854264351724], ""type"": ""Point""}","-27.623854264351724, 153.09313981392486"
52,100281835,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1982-N008,D0166,ASCOT PARK,ASCOT,MAINS POWER,2,153.06347238671736,-27.430518141449816,"{""coordinates"": [153.06347238671736, -27.430518141449816], ""type"": ""Point""}","-27.430518141449816, 153.06347238671736"
53,100104043,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1373-N004,D0467,ANZAC PARK,TOOWONG,WOOD FIRED,1,152.98150884892632,-27.478927951379895,"{""coordinates"": [152.98150884892632, -27.478927951379895], ""type"": ""Point""}","-27.478927951379895, 152.98150884892632"
54,200474557,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1499-N008,D0434,BROADWATER PICNIC GROUND PARK,MANSFIELD,WOOD FIRED,1,153.1119390321457,-27.544756467465888,"{""coordinates"": [153.1119390321457, -27.544756467465888], ""type"": ""Point""}","-27.544756467465888, 153.1119390321457"
55,200473656,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1991-N003,D0241,VICTOR GRENNING PARK,ZILLMERE,WOOD FIRED,1,153.04322295393794,-27.355889760444295,"{""coordinates"": [153.04322295393794, -27.355889760444295], ""type"": ""Point""}","-27.355889760444295, 153.04322295393794"
56,200542712,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1901-N011,D0249,MT COOT-THA RESERVE,MOUNT COOT-THA,WOOD FIRED,1,152.9427896689571,-27.46523375060996,"{""coordinates"": [152.9427896689571, -27.46523375060996], ""type"": ""Point""}","-27.46523375060996, 152.9427896689571"
57,200472065,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1511-N001,D0420,SIR JOHN CHANDLER PARK,INDOOROOPILLY,WOOD FIRED,1,153.0087909752179,-27.518243494784397,"{""coordinates"": [153.0087909752179, -27.518243494784397], ""type"": ""Point""}","-27.518243494784397, 153.0087909752179"
58,200487648,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1901-N010,D0249,MT COOT-THA RESERVE,MOUNT COOT-THA,WOOD FIRED,1,152.94141391228217,-27.47054362515001,"{""coordinates"": [152.94141391228217, -27.47054362515001], ""type"": ""Point""}","-27.47054362515001, 152.94141391228217"
59,200476252,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1936-N008,D0408,GUYATT PARK,ST LUCIA,WOOD FIRED,1,153.00124493778344,-27.49318805588518,"{""coordinates"": [153.00124493778344, -27.49318805588518], ""type"": ""Point""}","-27.49318805588518, 153.00124493778344"
60,100439810,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-2002-N015,D0230,BRADBURY PARK,KEDRON,MAINS POWER,2,153.02731135999537,-27.397720574131693,"{""coordinates"": [153.02731135999537, -27.397720574131693], ""type"": ""Point""}","-27.397720574131693, 153.02731135999537"
61,200473375,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2410-N004,D0958,TWILIGHT STREET PARK,KENMORE,WOOD FIRED,1,152.9338475203223,-27.52230005706462,"{""coordinates"": [152.9338475203223, -27.52230005706462], ""type"": ""Point""}","-27.52230005706462, 152.9338475203223"
62,200474099,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1871-N005,D0281,SANDGATE THIRD LAGOON RESERVE,BRIGHTON,WOOD FIRED,1,153.0556227168107,-27.310148884522143,"{""coordinates"": [153.0556227168107, -27.310148884522143], ""type"": ""Point""}","-27.310148884522143, 153.0556227168107"
63,200471657,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1875-N001,D0276,SANDGATE FORESHORES PARK,SANDGATE,WOOD FIRED,1,153.0872103890427,-27.329124629410487,"{""coordinates"": [153.0872103890427, -27.329124629410487], ""type"": ""Point""}","-27.329124629410487, 153.0872103890427"
64,100280621,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-2099-N031,D1279,THE LAKE PARKLANDS,FOREST LAKE,MAINS POWER,2,152.9658665162984,-27.619974800523224,"{""coordinates"": [152.9658665162984, -27.619974800523224], ""type"": ""Point""}","-27.619974800523224, 152.9658665162984"
65,100291950,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1571-N003,D0665,KERRIA STREET PARK,BELLBOWRIE,MAINS POWER,2,152.8788050360583,-27.559517965839447,"{""coordinates"": [152.8788050360583, -27.559517965839447], ""type"": ""Point""}","-27.559517965839447, 152.8788050360583"
66,200470374,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1815-N009,D0006,KITCHENER PARK,WYNNUM,WOOD FIRED,1,153.16737330473637,-27.44390706066826,"{""coordinates"": [153.16737330473637, -27.44390706066826], ""type"": ""Point""}","-27.44390706066826, 153.16737330473637"
67,100442047,BBQ – ELECTRIC DOUBLE,BARBEQUE,B-RE-1829-N017,D0083,VICTORIA PARK,HERSTON,MAINS POWER,2,153.02255006343722,-27.45073001311512,"{""coordinates"": [153.02255006343722, -27.45073001311512], ""type"": ""Point""}","-27.45073001311512, 153.02255006343722"
68,200472101,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1507-N005,D0424,TARINGA PLAYGROUND PARK,TARINGA,WOOD FIRED,1,152.97971643197852,-27.490802713889867,"{""coordinates"": [152.97971643197852, -27.490802713889867], ""type"": ""Point""}","-27.490802713889867, 152.97971643197852"
69,200564754,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-0347-N004,D2392,POOH CORNER,WACOL,MAINS POWER,2,152.9335300656589,-27.57069311834924,"{""coordinates"": [152.9335300656589, -27.57069311834924], ""type"": ""Point""}","-27.57069311834924, 152.9335300656589"
70,100088637,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2510-N001,D0784,PENHALIGON PARK,CHAPEL HILL,WOOD FIRED,1,152.94851175416258,-27.502423667415012,"{""coordinates"": [152.94851175416258, -27.502423667415012], ""type"": ""Point""}","-27.502423667415012, 152.94851175416258"
71,200473816,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1901-N040,D0249,MT COOT-THA RESERVE,MOUNT COOT-THA,WOOD FIRED,1,152.96776294476172,-27.466814740135195,"{""coordinates"": [152.96776294476172, -27.466814740135195], ""type"": ""Point""}","-27.466814740135195, 152.96776294476172"
72,200486467,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1525-N002,D0400,TARRAGINDI RECREATION RESERVE,TARRAGINDI,WOOD FIRED,1,153.03929396400468,-27.524290390922985,"{""coordinates"": [153.03929396400468, -27.524290390922985], ""type"": ""Point""}","-27.524290390922985, 153.03929396400468"
73,200475957,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2414-N005,D0855,DURELLA STREET PARK,DURACK,WOOD FIRED,1,152.9820673826185,-27.59203270754728,"{""coordinates"": [152.9820673826185, -27.59203270754728], ""type"": ""Point""}","-27.59203270754728, 152.9820673826185"
74,200542780,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1901-N010,D0249,MT COOT-THA RESERVE,MOUNT COOT-THA,WOOD FIRED,1,152.94105297737178,-27.470636442074753,"{""coordinates"": [152.94105297737178, -27.470636442074753], ""type"": ""Point""}","-27.470636442074753, 152.94105297737178"
75,200475079,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1932-N004,D0324,RIKKI BAILEY PARK,OXLEY,WOOD FIRED,1,152.96701316056826,-27.56167190756239,"{""coordinates"": [152.96701316056826, -27.56167190756239], ""type"": ""Point""}","-27.56167190756239, 152.96701316056826"
76,200477432,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2184-N001,D1186,MARTINDALE STREET PARK,CHERMSIDE WEST,WOOD FIRED,1,153.00497688110153,-27.375065301665845,"{""coordinates"": [153.00497688110153, -27.375065301665845], ""type"": ""Point""}","-27.375065301665845, 153.00497688110153"
77,100105354,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2083-N003,D1299,BENBEK CIRCUIT PARK,SUNNYBANK HILLS,MAINS POWER,1,153.04276588313223,-27.601561021513213,"{""coordinates"": [153.04276588313223, -27.601561021513213], ""type"": ""Point""}","-27.601561021513213, 153.04276588313223"
78,200524761,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1559-N005,D0678,COL BENNETT PARK,ALGESTER,WOOD FIRED,1,153.02737336462218,-27.615747073842876,"{""coordinates"": [153.02737336462218, -27.615747073842876], ""type"": ""Point""}","-27.615747073842876, 153.02737336462218"
79,200470724,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1604-N007,D0640,MEADOWLANDS PICNIC GROUND PARK,TINGALPA,WOOD FIRED,1,153.12342013622848,-27.4929329407756,"{""coordinates"": [153.12342013622848, -27.4929329407756], ""type"": ""Point""}","-27.4929329407756, 153.12342013622848"
80,200480407,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1499-N002,D0434,BROADWATER PICNIC GROUND PARK,MANSFIELD,WOOD FIRED,1,153.1117400044489,-27.54342835418929,"{""coordinates"": [153.1117400044489, -27.54342835418929], ""type"": ""Point""}","-27.54342835418929, 153.1117400044489"
81,200480668,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2019-N001,D0304,STRICKLAND TERRACE PARK,SHERWOOD,WOOD FIRED,1,152.98975916453963,-27.528664190014073,"{""coordinates"": [152.98975916453963, -27.528664190014073], ""type"": ""Point""}","-27.528664190014073, 152.98975916453963"
82,200473810,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1901-N032,D0249,MT COOT-THA RESERVE,MOUNT COOT-THA,WOOD FIRED,1,152.9641367607986,-27.474800844849387,"{""coordinates"": [152.9641367607986, -27.474800844849387], ""type"": ""Point""}","-27.474800844849387, 152.9641367607986"
83,100105130,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1718-N003,D0118,MAJESTIC PARK,COORPAROO,MAINS POWER,2,153.06734687378747,-27.50803096057514,"{""coordinates"": [153.06734687378747, -27.50803096057514], ""type"": ""Point""}","-27.50803096057514, 153.06734687378747"
84,100439805,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-2002-N015,D0230,BRADBURY PARK,KEDRON,MAINS POWER,2,153.02719467016698,-27.397389826015864,"{""coordinates"": [153.02719467016698, -27.397389826015864], ""type"": ""Point""}","-27.397389826015864, 153.02719467016698"
85,100104229,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1986-N001,D0162,FRANK WATERS PARK,ASHGROVE,MAINS POWER,1,152.99130661273492,-27.436585872742874,"{""coordinates"": [152.99130661273492, -27.436585872742874], ""type"": ""Point""}","-27.436585872742874, 152.99130661273492"
86,200474286,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1691-N001,D0584,CORMORANT STREET PARK,INALA,WOOD FIRED,1,152.97048952495453,-27.598912712501726,"{""coordinates"": [152.97048952495453, -27.598912712501726], ""type"": ""Point""}","-27.598912712501726, 152.97048952495453"
87,200525328,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1671-N010,D0663,BOOKER PLACE PARK,BELLBOWRIE,WOOD FIRED,1,152.89361456792685,-27.561586791034184,"{""coordinates"": [152.89361456792685, -27.561586791034184], ""type"": ""Point""}","-27.561586791034184, 152.89361456792685"
88,200470453,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2018-N009,D0305,SHERWOOD ARBORETUM,SHERWOOD,WOOD FIRED,1,152.97303791906904,-27.53006539026379,"{""coordinates"": [152.97303791906904, -27.53006539026379], ""type"": ""Point""}","-27.53006539026379, 152.97303791906904"
89,200471729,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2431-N002,D0836,MIKADO STREET PARK,ASCOT,WOOD FIRED,1,153.0533163303221,-27.433696858092592,"{""coordinates"": [153.0533163303221, -27.433696858092592], ""type"": ""Point""}","-27.433696858092592, 153.0533163303221"
90,200515180,BBQ - WOOD DOUBLE,BARBEQUE,B-RE-2387-N004,D0911,ANNA SMITH OBE QUOTA PARK,CARINDALE,WOOD FIRED,2,153.10733297902144,-27.50586504320132,"{""coordinates"": [153.10733297902144, -27.50586504320132], ""type"": ""Point""}","-27.50586504320132, 153.10733297902144"
